::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
-,Other,,
-,Other,,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Chrome,52,0
::1,Windows,10,Other
::1,Edge,14,14393
::1,Windows,10,Other
::1,Edge,14,14393
::1,Windows,10,Other
